ab_count,ab_id,ab_total,ax,ay,az,balls,batter_id,dateStamp,des,ftime,gid,id,inning,mlbam_pitch_name,norm_ht,p_throws,park_sv_id,pdes,pfx_x,pfx_xDataFile,pfx_z,pfx_zDataFile,pitch_con,pitch_count,pitcher_id,pitcher_team,play_guid,px,pxold,pz,pzold,result not valid,sb,spin,stand,start_speed,strikes,sz_bot,sz_top,tstart,type,uncorrected_pfx_x,uncorrected_pfx_z,vx0,vy0,vystart,vz0,x0,y0,z0,zone_location
1.0,6.0,4.0,-22.1129999237,35.2120008545,-21.0710005035,0.0,117863.0,2007-06-06,Fly Out,0.287584554236,gid_2007_06_06_detmlb_texmlb_1/,43.0,1.0,FA,0.66515,R,070606_194950tex,Called Strike,-10.9731174782,-11.129,5.51211431481,6.306,1.47881,1.0,434378.0,det,,-0.570096047572,-0.62,3.24295699626,3.311,,0.0,240.304,L,97.77,0.0,1.481,3.679,0.106308842875,S,-10.9731174782,5.51211431481,10.2599996643,-142.970001709,-139.226654643,-4.24599999619,-2.89599999428,55.0,6.54999998856,6.0
2.0,6.0,4.0,-16.2030000763,36.3590002136,-16.4270004501,0.0,117863.0,2007-06-06,Fly Out,0.287183503075,gid_2007_06_06_detmlb_texmlb_1/,44.0,1.0,FA,0.731574,R,070606_195001tex,Ball,-8.01799279974,-8.161,7.79481690907,8.597,1.44495,2.0,434378.0,det,,-0.959047272922,-1.009,3.31544873724,3.384,,1.0,223.364,L,98.0,1.0,1.481,3.679,0.106007948274,B,-8.01799279974,7.79481690907,7.95399990845,-143.425995361,-139.571652347,-4.99699992371,-2.83399995804,55.0,6.54999998856,0.0
3.0,6.0,4.0,-10.1750001984,24.2610006409,-25.3849996796,1.0,117863.0,2007-06-06,Fly Out,0.333497927236,gid_2007_06_06_detmlb_texmlb_1/,45.0,1.0,CH,0.601456,R,070606_195012tex,Ball,-6.79003409145,-6.955,4.5338076554,5.581,1.29853,3.0,434378.0,det,,-2.23999260718,-2.278,3.16752866399,3.241,,11.0,230.988,L,83.74,1.0,1.481,3.679,0.12372237673,B,-6.79003409145,4.5338076554,4.14800015259,-122.739998352,-119.738369691,-1.41099995804,-3.07300004005,55.0,6.46599987793,5.0
4.0,6.0,4.0,-18.6139993744,32.4910001831,-18.1659998169,2.0,117863.0,2007-06-06,Fly Out,0.287594752507,gid_2007_06_06_detmlb_texmlb_1/,46.0,1.0,FA,-0.44495,R,070606_195024tex,"In play, out(s)",-9.23746616216,-9.385,6.95415382897,7.754,1.46931,4.0,434378.0,det,,-0.445453483595,-0.494,2.0266220291,2.091,,21.0,230.283,L,97.42,1.0,1.481,3.679,0.106712649455,X,-9.23746616216,6.95415382897,10.0850004272,-142.298004639,-138.830803926,-7.97400016022,-2.97499999046,55.0,6.58299998093,16.0
1.0,7.0,5.0,5.52400016022,24.9189996796,-40.9640001526,0.0,276545.0,2007-06-06,Strikeout,0.33578810372,gid_2007_06_06_detmlb_texmlb_1/,50.0,1.0,CU,-0.806699,R,070606_195059tex,Ball,3.73710710387,3.6,-5.94324502634,-4.912,0.719049,5.0,434378.0,det,,2.18059983521,2.16,1.74776204718,1.812,,0.0,36.4958,R,83.59,0.0,1.61,3.7,0.124340187812,B,3.73710710387,-5.94324502634,10.0730003433,-122.185997498,-119.087564397,-0.842999999046,-3.03899988174,55.0,6.47199991989,19.0
2.0,7.0,5.0,6.474999897,23.2289991455,-43.4869989624,1.0,276545.0,2007-06-06,Strikeout,0.343726889611,gid_2007_06_06_detmlb_texmlb_1/,51.0,1.0,CU,-0.359809,R,070606_195115tex,Called Strike,4.59005651181,4.448,-8.01611661754,-6.938,1.29206,6.0,434378.0,det,,-0.596029828195,-0.621,2.21194782452,2.279,,10.0,32.8289,R,81.31,0.0,1.61,3.7,0.127418735174,S,4.59005651181,-8.01611661754,3.558,-119.201996338,-116.242186647,1.16199999619,-2.99100002289,55.0,6.4909999733,16.0
3.0,7.0,5.0,7.21099995804,27.3119993286,-45.8640016785,1.0,276545.0,2007-06-06,Strikeout,0.33894021473,gid_2007_06_06_detmlb_texmlb_1/,52.0,1.0,CU,-1.04785,R,070606_195130tex,Swinging Strike,4.97041834981,4.834,-9.43283647977,-8.391,1.27865,7.0,434378.0,det,,0.136610798267,0.112,1.49686684557,1.56,,11.0,30.0681,R,83.17,1.0,1.61,3.7,0.12482483573,S,4.97041834981,-9.43283647977,5.08699980545,-121.873001587,-118.463785757,-0.0130000157356,-2.99799999237,55.0,6.43500021744,22.0
4.0,7.0,5.0,-18.3679990845,36.8049993591,-17.0850004425,1.0,276545.0,2007-06-06,Strikeout,0.279010120088,gid_2007_06_06_detmlb_texmlb_1/,53.0,1.0,FA,1.48421,R,070606_195148tex,Ball,-8.57932285727,-8.72,7.05010354234,7.807,1.48881,8.0,434378.0,det,,0.26920840014,0.221,4.13450241842,4.206,,12.0,228.015,R,100.73,2.0,1.61,3.7,0.103220128535,B,-8.57932285727,7.05010354234,11.9640001373,-147.220001709,-143.420984944,-2.70900005531,-2.96199997902,55.0,6.41800001907,2.0
5.0,7.0,5.0,7.37300013733,30.5460004883,-48.2340006104,2.0,276545.0,2007-06-06,Strikeout,0.329360201812,gid_2007_06_06_detmlb_texmlb_1/,54.0,1.0,CU,-1.07751,R,070606_195203tex,Swinging Strike,4.79885615897,4.673,-10.4496998679,-9.474,1.24525,9.0,434378.0,det,,0.700956322766,0.675,1.46861742441,1.529,,22.0,26.3356,R,85.93,2.0,1.61,3.7,0.120944511685,S,4.79885615897,-10.4496998679,6.25900021362,-125.871002686,-122.176631573,0.203999991894,-2.86500009537,55.0,6.26699999619,23.0
1.0,8.0,4.0,-15.6339998322,32.6519994812,-13.9959997406,0.0,407893.0,2007-06-06,Strikeout,0.285078220765,gid_2007_06_06_detmlb_texmlb_1/,58.0,1.0,FA,-0.672889,R,070606_195230tex,Called Strike,-7.62341272187,-7.763,8.86635006956,9.661,1.46332,10.0,434378.0,det,,-0.866586232252,-0.916,1.89356806795,1.958,,0.0,218.65,L,98.16,0.0,1.59,3.84,0.105838712055,S,-7.62341272187,8.86635006956,8.12700024414,-143.453003418,-139.997157847,-9.15300006104,-2.84900006294,55.0,6.54100016403,15.0
2.0,8.0,4.0,-15.3999996262,35.1550016479,-15.7529997101,0.0,407893.0,2007-06-06,Strikeout,0.2800011371,gid_2007_06_06_detmlb_texmlb_1/,59.0,1.0,FA,0.870222,R,070606_195246tex,Ball,-7.24421866235,-7.379,7.72685329459,8.492,1.48628,11.0,434378.0,det,,0.466043671558,0.419,3.62505093641,3.694,,1.0,220.85,L,100.16,1.0,1.59,3.84,0.103775424471,B,-7.24421866235,7.72685329459,11.653000267,-146.367004883,-142.718779665,-4.71599978638,-2.87200006485,55.0,6.59500006485,3.0
3.0,8.0,4.0,-11.2840004044,26.0889997559,-25.5479997864,1.0,407893.0,2007-06-06,Strikeout,0.322318669171,gid_2007_06_06_detmlb_texmlb_1/,60.0,1.0,CH,-0.776889,R,070606_195258tex,Called Strike,-7.03372307775,-7.192,4.13334079757,5.113,0.937328,12.0,434378.0,det,,-0.929976242739,-0.967,1.7745700437,1.841,,11.0,234.329,L,86.81,1.0,1.59,3.84,0.119550949928,S,-7.03372307775,4.13334079757,7.13699999619,-127.028999817,-123.910035113,-4.64700001907,-2.98199995995,55.0,6.32199982452,15.0
4.0,8.0,4.0,11.0360002441,27.594000824,-45.0069994202,1.0,407893.0,2007-06-06,Strikeout,0.329046662598,gid_2007_06_06_detmlb_texmlb_1/,61.0,1.0,CU,-1.16889,R,070606_195310tex,Swinging Strike,7.16931945415,7.05,-8.33345630357,-7.353,1.00812,13.0,434378.0,det,,0.0211270820333,-0.005,1.33918680714,1.4,,12.0,43.9624,L,85.38,2.0,1.59,3.84,0.12148316489,S,7.16931945415,-8.33345630357,4.20200005341,-125.150002014,-121.797795462,-0.905999962807,-2.99199995041,55.0,6.31499985504,22.0
1.0,12.0,1.0,-17.374999054,39.1539983826,-13.2369999161,0.0,122544.0,2007-06-06,Double,0.289621250238,gid_2007_06_06_detmlb_texmlb_1/,86.0,2.0,FA,0.681473,R,070606_200121tex,"In play, no out",-8.74453837431,-8.893,9.53318305835,10.356,1.44442,14.0,434378.0,det,,-0.0651038683052,-0.112,3.15502287362,3.224,,0.0,220.525,R,97.87,0.0,1.672,3.518,0.106403398365,X,-8.74453837431,9.53318305835,10.1089996414,-143.056000244,-138.889881757,-5.93899983597,-2.70599993706,55.0,6.54499987411,7.0
1.0,13.0,6.0,-10.8229999619,33.5460004883,-19.6039995422,0.0,112131.0,2007-06-06,Ground Out,0.289839453407,gid_2007_06_06_detmlb_texmlb_1/,90.0,2.0,FA,0.518919,R,070606_200223tex,Ball,-5.45524062127,-5.588,6.33832149602,7.148,1.20646,15.0,434378.0,det,,-0.989740443595,-1.037,3.18813869642,3.256,,0.0,217.849,L,96.69,0.0,1.57,3.79,0.10731066626,B,-5.45524062127,6.33832149602,6.80299988556,-141.580994141,-137.981150478,-4.54700011444,-2.83799990654,55.0,6.54000023651,5.0
2.0,13.0,6.0,-10.2180004196,25.5600004272,-26.110000061,1.0,112131.0,2007-06-06,Ground Out,0.33711033283,gid_2007_06_06_detmlb_texmlb_1/,91.0,2.0,CH,1.55586,R,070606_200241tex,Ball,-6.96724841261,-7.135,4.13820987027,5.206,1.1841,16.0,434378.0,det,,-2.14361257158,-2.18,4.32999199601,4.407,,10.0,233.601,L,83.2,0.0,1.57,3.79,0.124632127012,B,-6.96724841261,4.13820987027,4.34799996185,-121.946999084,-118.761401865,1.41500001717,-3.06199988365,55.0,6.45999983597,0.0
3.0,13.0,6.0,-18.0609998779,36.1379995422,-19.499,2.0,112131.0,2007-06-06,Ground Out,0.28616163466,gid_2007_06_06_detmlb_texmlb_1/,92.0,2.0,FA,0.47027,R,070606_200303tex,Foul,-8.87392708847,-9.02,6.230075646,7.02,1.47574,17.0,434378.0,det,,-0.666080693997,-0.715,3.13444699521,3.202,,20.0,231.944,L,98.32,0.0,1.57,3.79,0.105699971843,S,-8.87392708847,6.230075646,9.36199990082,-143.820999634,-140.0012141,-4.63300008011,-2.94800004005,55.0,6.44699982452,6.0
4.0,13.0,6.0,-11.7889995651,23.4889993744,-24.717000412,2.0,112131.0,2007-06-06,Ground Out,0.332829853378,gid_2007_06_06_detmlb_texmlb_1/,93.0,2.0,CH,0.807207,R,070606_200345tex,Ball,-7.83560887402,-8.003,4.95964987248,6.004,1.3287,18.0,434378.0,det,,-1.65429724533,-1.692,3.50137354138,3.576,,21.0,232.878,L,83.78,1.0,1.57,3.79,0.123674101857,B,-7.83560887402,4.95964987248,5.75699988174,-122.738998901,-119.834018,-0.846000020027,-3.05399998665,55.0,6.46300009537,0.0
