trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.95}",25,0,-48.77992949,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
2,FALSE,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-180.8590932,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
3,FALSE,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-220.1791521,"{0: 20, 1: 5, 2: 5, 3: 2, 4: 3}",0
4,FALSE,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-153.7825991,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
5,FALSE,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-95.3400997,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
6,FALSE,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-147.4965619,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 3}",0
7,FALSE,"{'a': 0.5, 'e': 0.6499999999999997}",25,6,-100.8129098,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 1}",1
8,FALSE,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-91.81518474,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,FALSE,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-43.27816928,"{0: 15, 1: 7, 2: 3, 3: 0, 4: 0}",0
10,FALSE,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-68.91671452,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
11,FALSE,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-86.80849528,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
12,FALSE,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-1.416046369,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
13,FALSE,"{'a': 0.5, 'e': 0.34999999999999964}",20,4,-15.01326257,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 0}",1
14,FALSE,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,3.69965466,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,FALSE,"{'a': 0.5, 'e': 0.24999999999999967}",35,20,-38.6088814,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
16,FALSE,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,15.34435321,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,FALSE,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-36.09304031,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
18,FALSE,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,19.99794115,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,FALSE,"{'a': 0.5, 'e': 0.049999999999999684}",25,9,-15.39176106,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
20,FALSE,"{'a': 0.5, 'e': 0}",25,13,17.39136653,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,TRUE,"{'a': 0, 'e': 0}",20,0,-55.19512857,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,TRUE,"{'a': 0, 'e': 0}",20,13,5.508692618,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,TRUE,"{'a': 0, 'e': 0}",25,0,30.44124743,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,TRUE,"{'a': 0, 'e': 0}",20,8,14.23282277,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,TRUE,"{'a': 0, 'e': 0}",25,16,1.463477247,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,TRUE,"{'a': 0, 'e': 0}",25,13,22.87778336,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,TRUE,"{'a': 0, 'e': 0}",20,10,12.83750399,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,TRUE,"{'a': 0, 'e': 0}",20,10,15.2608693,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0, 'e': 0}",30,8,17.00844028,"{0: 20, 1: 2, 2: 0, 3: 0, 4: 0}",1
10,TRUE,"{'a': 0, 'e': 0}",20,14,10.22509799,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
