trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.001, 'e': 1.0}",20,0,-32.16430038,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
2,FALSE,"{'a': 0.001, 'e': 0.9999995000000417}",20,0,-120.4881167,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
3,FALSE,"{'a': 0.001, 'e': 0.9999980000006666}",20,12,-3.9876368,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,FALSE,"{'a': 0.001, 'e': 0.999995500003375}",20,0,-68.79166296,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
5,FALSE,"{'a': 0.001, 'e': 0.9999920000106667}",20,0,-95.50797974,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",1
6,FALSE,"{'a': 0.001, 'e': 0.9999875000260416}",25,0,-123.2193845,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
7,FALSE,"{'a': 0.001, 'e': 0.999982000054}",20,0,-47.37753848,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
8,FALSE,"{'a': 0.001, 'e': 0.9999755001000415}",25,0,-62.74809145,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
9,FALSE,"{'a': 0.001, 'e': 0.9999680001706663}",25,0,-337.2037507,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 7}",0
10,FALSE,"{'a': 0.001, 'e': 0.9999595002733742}",20,0,-85.31988122,"{0: 10, 1: 0, 2: 10, 3: 0, 4: 0}",0
11,FALSE,"{'a': 0.001, 'e': 0.9999500004166653}",25,0,-102.4526516,"{0: 16, 1: 6, 2: 1, 3: 0, 4: 2}",0
12,FALSE,"{'a': 0.001, 'e': 0.9999395006100392}",25,0,-65.08957379,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
13,FALSE,"{'a': 0.001, 'e': 0.9999280008639958}",20,0,-66.76383217,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
14,FALSE,"{'a': 0.001, 'e': 0.9999155011900349}",25,3,-114.1374436,"{0: 11, 1: 3, 2: 7, 3: 0, 4: 1}",1
15,FALSE,"{'a': 0.001, 'e': 0.9999020016006562}",35,0,-159.6326025,"{0: 20, 1: 5, 2: 6, 3: 3, 4: 1}",0
16,FALSE,"{'a': 0.001, 'e': 0.9998875021093592}",20,0,-8.897290443,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
17,FALSE,"{'a': 0.001, 'e': 0.9998720027306434}",20,7,17.59343344,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,FALSE,"{'a': 0.001, 'e': 0.9998555034800082}",20,15,11.36389909,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,FALSE,"{'a': 0.001, 'e': 0.9998380043739528}",25,0,-71.5883657,"{0: 14, 1: 5, 2: 6, 3: 0, 4: 0}",0
20,FALSE,"{'a': 0.001, 'e': 0.9998195054299763}",30,0,-76.89573752,"{0: 17, 1: 6, 2: 7, 3: 0, 4: 0}",0
21,FALSE,"{'a': 0.001, 'e': 0.9998000066665778}",35,0,-176.5168753,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
22,FALSE,"{'a': 0.001, 'e': 0.9997795081032559}",30,0,-156.0111325,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
23,FALSE,"{'a': 0.001, 'e': 0.9997580097605092}",25,0,-56.78067894,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
24,FALSE,"{'a': 0.001, 'e': 0.9997355116598361}",20,15,8.0936343,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,FALSE,"{'a': 0.001, 'e': 0.9997120138237345}",30,22,-39.30595822,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,FALSE,"{'a': 0.001, 'e': 0.9996875162757026}",30,10,-162.7780552,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",1
27,FALSE,"{'a': 0.001, 'e': 0.9996620190402377}",25,12,-16.52773579,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
28,FALSE,"{'a': 0.001, 'e': 0.9996355221428369}",35,0,-254.6241924,"{0: 19, 1: 3, 2: 8, 3: 1, 4: 4}",0
29,FALSE,"{'a': 0.001, 'e': 0.9996080256099974}",25,0,-153.4426507,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
30,FALSE,"{'a': 0.001, 'e': 0.9995795294692156}",30,0,-132.6737271,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
31,FALSE,"{'a': 0.001, 'e': 0.9995500337489875}",30,0,-176.9243862,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
32,FALSE,"{'a': 0.001, 'e': 0.999519538478809}",25,0,-37.07782221,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
33,FALSE,"{'a': 0.001, 'e': 0.9994880436891754}",20,0,-112.6819599,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
34,FALSE,"{'a': 0.001, 'e': 0.9994555494115813}",30,0,-60.75581157,"{0: 19, 1: 7, 2: 3, 3: 1, 4: 0}",0
35,FALSE,"{'a': 0.001, 'e': 0.9994220556785212}",20,0,-27.36794383,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
36,FALSE,"{'a': 0.001, 'e': 0.9993875625234886}",25,0,-112.4456321,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
37,FALSE,"{'a': 0.001, 'e': 0.9993520699809768}",30,0,-154.9219069,"{0: 15, 1: 4, 2: 9, 3: 1, 4: 1}",0
38,FALSE,"{'a': 0.001, 'e': 0.9993155780864782}",25,11,8.312992128,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
39,FALSE,"{'a': 0.001, 'e': 0.9992780868764849}",20,0,-102.4448995,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
40,FALSE,"{'a': 0.001, 'e': 0.999239596388488}",25,0,-137.516362,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
41,FALSE,"{'a': 0.001, 'e': 0.9992001066609779}",25,0,-230.3656231,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
42,FALSE,"{'a': 0.001, 'e': 0.9991596177334445}",20,0,-90.47968516,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
43,FALSE,"{'a': 0.001, 'e': 0.9991181296463766}",20,0,-62.80275539,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
44,FALSE,"{'a': 0.001, 'e': 0.9990756424412622}",25,0,-147.8389846,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
45,FALSE,"{'a': 0.001, 'e': 0.9990321561605888}",20,11,-31.14908302,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
46,FALSE,"{'a': 0.001, 'e': 0.9989876708478425}",25,10,-139.0219339,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 3}",1
47,FALSE,"{'a': 0.001, 'e': 0.9989421865475084}",25,0,-131.7975012,"{0: 11, 1: 5, 2: 8, 3: 0, 4: 1}",0
48,FALSE,"{'a': 0.001, 'e': 0.9988957033050712}",30,0,-105.2836829,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
49,FALSE,"{'a': 0.001, 'e': 0.9988482211670138}",20,0,-104.4496889,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
50,FALSE,"{'a': 0.001, 'e': 0.9987997401808185}",25,0,-68.96689876,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
51,FALSE,"{'a': 0.001, 'e': 0.9987502603949663}",20,0,-62.96410158,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
52,FALSE,"{'a': 0.001, 'e': 0.9986997818589368}",30,0,-108.8454647,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
53,FALSE,"{'a': 0.001, 'e': 0.9986483046232089}",25,0,-191.4410085,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
54,FALSE,"{'a': 0.001, 'e': 0.9985958287392593}",25,8,5.5685297,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,FALSE,"{'a': 0.001, 'e': 0.9985423542595644}",25,0,-156.9249252,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
