trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",30,0,-177.59748397747822,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.001, 'e': 0.9999995000000417}",25,0,-135.56033718940037,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.001, 'e': 0.9999980000006666}",25,0,-146.71554651196038,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.001, 'e': 0.999995500003375}",20,0,-200.44030941497235,"{0: 8, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.001, 'e': 0.9999920000106667}",20,0,-99.72960089203801,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.001, 'e': 0.9999875000260416}",25,0,-217.12349890725702,"{0: 15, 1: 2, 2: 2, 3: 2, 4: 4}",0
7,False,"{'a': 0.001, 'e': 0.999982000054}",25,0,-119.91813322801511,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.9999755001000415}",30,0,-164.18408714173844,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9999680001706663}",25,0,-125.08517365712245,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
10,False,"{'a': 0.001, 'e': 0.9999595002733742}",25,0,-204.3120914192828,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.001, 'e': 0.9999500004166653}",20,0,-97.56693936347914,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
12,False,"{'a': 0.001, 'e': 0.9999395006100392}",25,0,-164.83813152432538,"{0: 11, 1: 3, 2: 8, 3: 2, 4: 1}",0
13,False,"{'a': 0.001, 'e': 0.9999280008639958}",25,0,-71.94788426382333,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.001, 'e': 0.9999155011900349}",25,0,-104.3723392575358,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9999020016006562}",20,0,-120.68137465187004,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.9998875021093592}",25,0,-90.96337525098302,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.001, 'e': 0.9998720027306434}",25,0,-209.18366670178585,"{0: 10, 1: 4, 2: 8, 3: 0, 4: 3}",0
18,False,"{'a': 0.001, 'e': 0.9998555034800082}",25,0,-105.55318039599008,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.001, 'e': 0.9998380043739528}",20,0,-118.98267704422582,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.001, 'e': 0.9998195054299763}",20,0,-162.7858219374533,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-75.2751105668137,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,0,-82.04168083573109,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,6,-32.1216827014077,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-146.19479943420632,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,-106.14759042152711,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-137.96581638285696,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",20,0,-213.93931260512062,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-143.8387996912487,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-158.52198468297257,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",25,0,-59.780216012309694,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
11,True,"{'a': 0, 'e': 0}",20,7,-78.2439443695942,"{0: 8, 1: 2, 2: 0, 3: 2, 4: 1}",1
12,True,"{'a': 0, 'e': 0}",25,0,-83.13277651703588,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
13,True,"{'a': 0, 'e': 0}",20,0,-113.05052927989942,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
14,True,"{'a': 0, 'e': 0}",20,0,-197.00625711882176,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
15,True,"{'a': 0, 'e': 0}",25,5,-129.14095695504284,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",1
16,True,"{'a': 0, 'e': 0}",20,0,-19.33896172014883,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
17,True,"{'a': 0, 'e': 0}",20,0,-67.96330918305021,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,True,"{'a': 0, 'e': 0}",20,14,-18.117016585792463,"{0: 4, 1: 1, 2: 0, 3: 1, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",25,0,-101.63721538626885,"{0: 17, 1: 5, 2: 1, 3: 0, 4: 2}",0
20,True,"{'a': 0, 'e': 0}",20,0,-117.66179977700654,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
21,True,"{'a': 0, 'e': 0}",20,0,-27.928656179664124,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
22,True,"{'a': 0, 'e': 0}",30,0,-198.66240407489536,"{0: 18, 1: 2, 2: 5, 3: 2, 4: 3}",0
23,True,"{'a': 0, 'e': 0}",20,0,-137.2017043582936,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
24,True,"{'a': 0, 'e': 0}",35,14,-57.75491908515492,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 1}",1
25,True,"{'a': 0, 'e': 0}",20,3,-46.75854026518584,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
26,True,"{'a': 0, 'e': 0}",20,10,-78.87513753471215,"{0: 6, 1: 0, 2: 1, 3: 2, 4: 1}",1
27,True,"{'a': 0, 'e': 0}",25,0,-144.42246938976055,"{0: 10, 1: 7, 2: 6, 3: 1, 4: 1}",0
28,True,"{'a': 0, 'e': 0}",20,0,-90.19155681859205,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
29,True,"{'a': 0, 'e': 0}",20,0,-158.5072689200149,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
30,True,"{'a': 0, 'e': 0}",30,0,-140.9685404953584,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
31,True,"{'a': 0, 'e': 0}",30,0,-236.24131822713576,"{0: 14, 1: 2, 2: 9, 3: 2, 4: 3}",0
32,True,"{'a': 0, 'e': 0}",25,0,-73.33370410463459,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
33,True,"{'a': 0, 'e': 0}",20,0,-40.16507945681526,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
34,True,"{'a': 0, 'e': 0}",20,0,-112.81904385307818,"{0: 8, 1: 4, 2: 7, 3: 0, 4: 1}",0
35,True,"{'a': 0, 'e': 0}",30,0,-177.73092806605067,"{0: 15, 1: 5, 2: 5, 3: 4, 4: 1}",0
36,True,"{'a': 0, 'e': 0}",30,0,-91.74764656206371,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
37,True,"{'a': 0, 'e': 0}",20,0,-111.91816488089678,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",1
38,True,"{'a': 0, 'e': 0}",30,0,-202.8687491146146,"{0: 15, 1: 7, 2: 4, 3: 1, 4: 3}",0
39,True,"{'a': 0, 'e': 0}",20,0,-99.73145935736757,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
40,True,"{'a': 0, 'e': 0}",25,0,-222.37123421003267,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 5}",0
41,True,"{'a': 0, 'e': 0}",20,0,-89.20784502610466,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
42,True,"{'a': 0, 'e': 0}",30,0,-187.0814110324569,"{0: 15, 1: 7, 2: 5, 3: 0, 4: 3}",0
43,True,"{'a': 0, 'e': 0}",25,0,-86.759753357415,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
44,True,"{'a': 0, 'e': 0}",20,0,-137.62868421352024,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
45,True,"{'a': 0, 'e': 0}",30,0,-114.98258611122105,"{0: 16, 1: 4, 2: 9, 3: 1, 4: 0}",0
46,True,"{'a': 0, 'e': 0}",30,0,-250.9776496382892,"{0: 17, 1: 1, 2: 6, 3: 2, 4: 4}",0
47,True,"{'a': 0, 'e': 0}",20,0,-55.95624331438992,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
48,True,"{'a': 0, 'e': 0}",20,0,-148.06144976468738,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
49,True,"{'a': 0, 'e': 0}",25,0,-140.4957744638473,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
50,True,"{'a': 0, 'e': 0}",25,0,-84.38195072325819,"{0: 12, 1: 7, 2: 6, 3: 0, 4: 0}",0
51,True,"{'a': 0, 'e': 0}",25,0,-173.6823066084945,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
52,True,"{'a': 0, 'e': 0}",25,0,-177.09064336001754,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
53,True,"{'a': 0, 'e': 0}",20,0,-215.05637137607127,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
54,True,"{'a': 0, 'e': 0}",20,0,-103.02830885373822,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
55,True,"{'a': 0, 'e': 0}",25,0,-129.55380714236455,"{0: 11, 1: 6, 2: 7, 3: 0, 4: 1}",0
56,True,"{'a': 0, 'e': 0}",25,0,-143.83614396747583,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
57,True,"{'a': 0, 'e': 0}",20,0,-85.7154498643561,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
58,True,"{'a': 0, 'e': 0}",20,10,-86.61865758863368,"{0: 5, 1: 1, 2: 1, 3: 2, 4: 1}",1
59,True,"{'a': 0, 'e': 0}",25,0,-158.28118555164397,"{0: 14, 1: 4, 2: 4, 3: 0, 4: 3}",0
60,True,"{'a': 0, 'e': 0}",25,0,-75.27490243727023,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
61,True,"{'a': 0, 'e': 0}",20,10,-22.12035936508064,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
62,True,"{'a': 0, 'e': 0}",25,0,-43.47225148277447,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
63,True,"{'a': 0, 'e': 0}",20,0,-116.4585737700881,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 3}",0
